description,P. equestris,E. aphyllum,E. roseum,M. esculenta,R. cantleyi,S. himalayana,S. album,R. phalloides,B. fungosa,R. williamsianum,M. hypopitys,Genome
AlaRS,present_noretarget,loss_noretarget,loss_noretarget,present_retarget,loss_noretarget,loss_retarget,present_retarget,loss_noretarget,loss_noretarget,present_noretarget,loss_retarget,mitochondrion
AsnRS,present_noretarget,present_noretarget,present_noretarget,present_noretarget,loss_unknowntargeting,loss_noretarget,present_noretarget,loss_noretarget,present_noretarget,present_noretarget,present_noretarget,mitochondrion
AspRS,present_noretarget,present_noretarget,present_noretarget,present_noretarget,loss_noretarget,loss_retarget,present_noretarget,present_noretarget,loss_retarget,present_unknowntargeting,present_noretarget,mitochondrion
CysRS,present_noretarget,present_noretarget,present_noretarget,present_noretarget,loss_noretarget,loss_noretarget,present_noretarget,loss_noretarget,loss_noretarget,present_noretarget,loss_noretarget,mitochondrion
GlnRS,present_noretarget,present_noretarget,present_noretarget,present_noretarget,loss_unknowntargeting,loss_retarget,present_noretarget,present_noretarget,loss_noretarget,present_noretarget,present_noretarget,mitochondrion
GluRS,present_noretarget,present_noretarget,present_noretarget,present_noretarget,loss_unknowntargeting,loss_retarget,present_noretarget,present_unknowntargeting,present_unknowntargeting,present_noretarget,present_unknowntargeting,mitochondrion
GlyRS,present_retarget,loss_retarget,loss_noretarget,present_retarget,loss_noretarget,loss_retarget,present_noretarget,loss_noretarget,loss_noretarget,present_noretarget,present_unknowntargeting,mitochondrion
HisRS,present_noretarget,present_noretarget,present_noretarget,present_noretarget,loss_noretarget,loss_noretarget,present_noretarget,loss_unknowntargeting,loss_noretarget,present_noretarget,present_noretarget,mitochondrion
IleRS,present_noretarget,present_noretarget,present_retarget,present_noretarget,loss_retarget,loss_noretarget,present_noretarget,present_noretarget,loss_retarget,present_noretarget,present_noretarget,mitochondrion
LeuRS,present_noretarget,loss_unknowntargeting,loss_noretarget,present_noretarget,loss_noretarget,loss_noretarget,present_unknowntargeting,present_noretarget,loss_noretarget,present_noretarget,present_noretarget,mitochondrion
LysRS,present_noretarget,loss_noretarget,loss_noretarget,present_noretarget,loss_unknowntargeting,loss_noretarget,present_noretarget,loss_retarget,loss_noretarget,present_noretarget,present_unknowntargeting,mitochondrion
MetRS,present_noretarget,loss_retarget,loss_retarget,present_noretarget,loss_unknowntargeting,loss_retarget,present_noretarget,loss_noretarget,loss_noretarget,present_noretarget,present_noretarget,mitochondrion
PheRS,present_noretarget,loss_noretarget,present_noretarget,present_noretarget,present_noretarget,present_noretarget,present_noretarget,present_noretarget,present_noretarget,present_noretarget,present_noretarget,mitochondrion
ProRS,present_noretarget,loss_retarget,loss_retarget,present_noretarget,loss_retarget,loss_retarget,present_noretarget,loss_noretarget,loss_retarget,present_noretarget,present_noretarget,mitochondrion
SerRS,present_noretarget,loss_noretarget,present_noretarget,present_noretarget,loss_noretarget,loss_noretarget,present_noretarget,present_noretarget,loss_noretarget,present_noretarget,present_noretarget,mitochondrion
ThrRS,present_noretarget,loss_noretarget,loss_unknowntargeting,present_retarget,loss_noretarget,loss_noretarget,present_retarget,loss_retarget,loss_noretarget,present_retarget,loss_retarget,mitochondrion
TrpRS,present_noretarget,present_noretarget,present_noretarget,present_noretarget,loss_unknowntargeting,loss_retarget,present_noretarget,present_noretarget,loss_retarget,present_noretarget,loss_noretarget,mitochondrion
TyrRS,present_noretarget,present_noretarget,present_noretarget,present_noretarget,loss_noretarget,loss_noretarget,present_noretarget,present_retarget,loss_noretarget,present_noretarget,present_noretarget,mitochondrion
ValRS,present_noretarget,present_noretarget,present_noretarget,present_noretarget,loss_noretarget,loss_noretarget,present_noretarget,present_retarget,loss_noretarget,present_noretarget,present_noretarget,mitochondrion
AlaRS,present_retarget,loss_retarget,loss_noretarget,present_noretarget,loss_noretarget,loss_noretarget,present_noretarget,loss_retarget,loss_retarget,present_retarget,loss_noretarget,plastid
AsnRS,present_noretarget,present_noretarget,present_noretarget,present_noretarget,loss_unknowntargeting,loss_noretarget,present_noretarget,loss_retarget,present_noretarget,present_noretarget,present_noretarget,plastid
AspRS,present_noretarget,present_noretarget,present_noretarget,present_noretarget,loss_noretarget,loss_retarget,present_noretarget,present_noretarget,loss_noretarget,present_unknowntargeting,present_noretarget,plastid
CysRS,present_noretarget,present_noretarget,present_noretarget,present_noretarget,loss_noretarget,loss_noretarget,present_noretarget,loss_noretarget,loss_noretarget,present_noretarget,loss_noretarget,plastid
GlnRS,present_noretarget,present_noretarget,present_noretarget,present_noretarget,loss_unknowntargeting,loss_noretarget,present_noretarget,present_noretarget,loss_noretarget,present_noretarget,present_noretarget,plastid
GluRS,present_noretarget,present_noretarget,present_noretarget,present_noretarget,loss_unknowntargeting,loss_retarget,present_noretarget,present_unknowntargeting,present_unknowntargeting,present_noretarget,present_unknowntargeting,plastid
GlyRS,present_retarget,loss_noretarget,loss_retarget,present_noretarget,loss_noretarget,loss_retarget,present_noretarget,loss_retarget,loss_noretarget,present_noretarget,present_unknowntargeting,plastid
HisRS,present_noretarget,present_noretarget,present_noretarget,present_noretarget,loss_noretarget,loss_noretarget,present_noretarget,loss_unknowntargeting,loss_noretarget,present_noretarget,present_noretarget,plastid
IleRS,present_noretarget,present_noretarget,present_noretarget,present_noretarget,loss_retarget,loss_noretarget,present_noretarget,present_noretarget,loss_retarget,present_noretarget,present_noretarget,plastid
LeuRS,present_noretarget,loss_unknowntargeting,loss_noretarget,present_retarget,loss_noretarget,loss_noretarget,present_unknowntargeting,present_retarget,loss_noretarget,present_retarget,present_noretarget,plastid
LysRS,present_noretarget,loss_noretarget,loss_noretarget,present_noretarget,loss_unknowntargeting,loss_noretarget,present_noretarget,loss_noretarget,loss_noretarget,present_noretarget,present_unknowntargeting,plastid
MetRS,present_noretarget,loss_noretarget,loss_noretarget,present_noretarget,loss_unknowntargeting,loss_noretarget,present_noretarget,loss_noretarget,loss_noretarget,present_noretarget,present_retarget,plastid
PheRS,present_noretarget,loss_noretarget,present_noretarget,present_noretarget,present_noretarget,present_noretarget,present_noretarget,present_noretarget,present_noretarget,present_noretarget,present_noretarget,plastid
ProRS,present_noretarget,loss_noretarget,loss_noretarget,present_noretarget,loss_noretarget,loss_noretarget,present_noretarget,loss_noretarget,loss_retarget,present_noretarget,present_noretarget,plastid
SerRS,present_noretarget,loss_noretarget,present_noretarget,present_noretarget,loss_noretarget,loss_noretarget,present_noretarget,present_noretarget,loss_noretarget,present_noretarget,present_noretarget,plastid
ThrRS,present_noretarget,loss_retarget,loss_unknowntargeting,present_noretarget,loss_noretarget,loss_retarget,present_noretarget,loss_noretarget,loss_noretarget,present_retarget,loss_retarget,plastid
TrpRS,present_noretarget,present_noretarget,present_retarget,present_noretarget,loss_unknowntargeting,loss_noretarget,present_noretarget,present_noretarget,loss_noretarget,present_noretarget,loss_noretarget,plastid
TyrRS,present_noretarget,present_noretarget,present_noretarget,present_noretarget,loss_noretarget,loss_retarget,present_noretarget,present_noretarget,loss_noretarget,present_noretarget,present_noretarget,plastid
ValRS,present_noretarget,present_noretarget,present_noretarget,present_noretarget,loss_noretarget,loss_noretarget,present_retarget,present_noretarget,loss_retarget,present_noretarget,present_noretarget,plastid
